"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2016-03-14 04:04:54",367587440,40.64171,-74.12079,265.6,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 04:04:54",367506050,40.64244,-74.04798,268.8,0.1,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 04:04:58",366238710,41.03455,-73.29920,71.7,9.3,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 05:00:01",367594190,40.64766,-74.11639,110.9,1.4,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 05:02:04",305599000,39.91647,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 05:04:54",367587440,40.64169,-74.12074,21.6,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 05:04:54",367506050,40.65164,-74.07482,283.7,8.5,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 05:04:54",367563930,41.67708,-73.94579,8.7,7.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 05:04:55",366238710,41.08203,-73.11065,74.0,9.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 05:54:34",366695940,41.15456,-73.17925,194.4,7.9,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 06:00:00",367506050,40.65705,-74.07143,42.1,9.3,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 06:00:00",367594190,40.67094,-74.08559,24.2,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 06:02:02",305599000,39.91647,-75.13422,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 06:03:35",366695940,41.13990,-73.18547,227.9,2.6,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 06:04:54",367587440,40.64172,-74.12078,356.1,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 06:04:57",366238710,41.15917,-72.97150,48.1,9.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 07:00:01",367594190,40.67095,-74.08558,11.6,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 07:01:34",366695940,41.14323,-73.22147,356.8,4.0,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 07:02:04",305599000,39.91648,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 07:02:13",367506050,40.67084,-74.08534,242.1,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 07:04:43",367587440,40.64170,-74.12076,292.6,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 07:04:59",366238710,41.25267,-72.91412,7.5,7.9,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
