DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
2016-04-14 02:02:10,676061000,36.51556,17.11400,268.6,6.7,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,04-15 23:00
2016-04-14 02:02:10,247293900,36.49636,17.69443,91.4,13.2,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,04-15 20:00
2016-04-14 02:02:16,249988000,36.43061,17.15088,266.6,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,04-14 07:00
2016-04-14 02:02:30,477216000,36.41920,16.66848,90.0,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,04-16 07:00
2016-04-14 02:02:33,246739000,36.45713,16.99757,90.4,10.7,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 02:02:49,371024000,37.45997,17.18764,284.0,9.3,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
2016-04-14 02:03:09,240047000,36.47599,16.47207,270.0,6.1,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,04-20 06:00
2016-04-14 02:03:37,304014000,36.47633,16.72083,272.0,9.4,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,04-22 20:00
2016-04-14 02:04:08,247318400,36.57127,16.86300,117.8,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,04-16 12:00
2016-04-14 02:08:16,563112000,37.52848,16.45152,219.6,14.0,511,9664938,KILBURN,9V5605,80,101,19,15,5,5.4,LAVERA FRANCE,04-16 12:00
2016-04-14 02:09:39,372246000,36.98114,17.35236,69.7,13.0,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,04-15 04:00
2016-04-14 03:00:15,477699600,36.41347,18.04581,89.6,15.2,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,04-15 04:00
2016-04-14 03:01:09,247318400,36.48089,17.06905,118.4,12.3,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,04-16 12:00
2016-04-14 03:02:08,538002689,36.51016,17.04374,263.4,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,04-17 08:00
2016-04-14 03:02:08,676061000,36.52192,16.97155,276.3,6.8,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,04-15 23:00
2016-04-14 03:02:08,247293900,36.48981,17.97353,89.9,13.1,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,04-15 20:00
2016-04-14 03:02:28,477216000,36.40640,16.95805,93.0,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,04-16 07:00
2016-04-14 03:02:32,246739000,36.45833,17.22068,90.4,10.8,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 03:03:41,372246000,37.05337,17.59094,69.2,13.0,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,04-15 04:00
2016-04-14 03:04:12,255805806,37.34982,17.84736,287.0,15.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,04-14 23:00
2016-04-14 03:04:59,371024000,37.49959,16.99171,286.0,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
2016-04-14 03:09:34,304014000,36.48267,16.51117,272.0,9.1,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,04-22 20:00
2016-04-14 03:24:43,249988000,36.41420,16.84118,266.0,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,04-14 07:00
2016-04-14 03:43:01,246432000,36.51270,16.76940,94.0,11.7,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,04-17 12:00
2016-04-14 04:00:00,371024000,37.53735,16.82222,286.5,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
2016-04-14 04:02:08,538002689,36.49661,16.83460,286.0,10.6,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,04-17 08:00
2016-04-14 04:02:14,249988000,36.40526,16.68656,264.1,10.8,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,04-14 07:00
2016-04-14 04:02:31,246739000,36.45258,17.44805,95.0,10.4,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 04:02:32,667001549,37.42229,17.95499,284.3,10.6,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,04-17 11:00
2016-04-14 04:03:40,372246000,37.12470,17.82162,69.1,12.4,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,04-15 04:00
2016-04-14 04:04:12,255805806,37.42341,17.53486,287.0,15.3,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,04-14 23:00
2016-04-14 04:04:57,305211000,37.64948,16.42212,39.6,12.5,511,9351361,NORMED ANTWERPEN,V2DG9,70,115,13,10,8,8.6,ZELENIKA,04-15 06:00
2016-04-14 04:07:01,246432000,36.50943,16.86495,91.0,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,04-17 12:00
2016-04-14 04:24:51,477216000,36.40448,17.35855,90.0,14.0,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,04-16 07:00
2016-04-14 05:02:09,538002689,36.52176,16.61185,274.1,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,04-17 08:00
2016-04-14 05:02:15,249988000,36.40131,16.45695,263.0,11.0,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,04-14 07:00
2016-04-14 05:02:33,667001549,37.46020,17.73524,283.7,10.4,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,04-17 11:00
2016-04-14 05:04:34,255805806,37.50702,17.20215,289.0,15.7,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,04-14 23:00
2016-04-14 05:04:39,477216000,36.40423,17.56828,90.0,14.3,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,04-16 07:00
2016-04-14 05:04:59,371024000,37.59108,16.62413,288.8,9.4,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
2016-04-14 05:28:29,246739000,36.44007,17.76386,90.0,10.8,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 05:52:28,246432000,36.49925,17.30048,89.0,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,04-17 12:00
2016-04-14 06:02:09,538002689,36.53353,16.38705,272.0,10.9,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,04-17 08:00
